title,file name,size bytes,caption
Harvard university,Harvard logo.webp,29.22kb,I heard thats it a one the best collgeges to go to
Univeristy of arizona,ASU logo,22.95 kb,Closer to me 
Lincoln technical institutie,Indy logo.jpeg,28.62 kb,For trading school 
WyoTech,wyotech.jpeg,10.21kb,I want to do this school for welding
Fortis,Fortis logo.jpeg,23.73kb,I want to do this school for plumbing
southern new hampshire university,Fortis logo.jpeg,21kb,i Want to do this to learn about like buisness
 purdue global universties,purdue logo.jpeg,23.01kb,I want to do  criminal justice
massachutes insiuttue of technology,massachusetts-institute-of-technology-mit-logo-jpeg.jpeg,22.79kb,I want to do engineering.
Univeristy of Okalahoma,851-8516953_oklahoma-soone...-of-oklahoma-log-jpeg.jpeg,24.93kb,I want to do law
Universisty of kentucky,University-of-Kentucky-Logo-jpeg.jpeg, 21.93kb,I want to do engineering in this